workload	metric	baseline_n	baseline_mean	baseline_sd	nobitmap_n	nobitmap_mean	nobitmap_sd	bitmap_n	bitmap_mean	bitmap_sd	nobitmap_vs_baseline_pct	bitmap_vs_baseline_pct
A	throughput_ops_sec	10	699783.2	10653.9804	15	695331.7333	7254.4078	10	695448.1	10805.6087	-0.636	-0.619
A	filter_checks_per_lookup	10	4.4656	0.0264	15	4.4423	0.0295	10	4.4397	0.0227	-0.522	-0.58
A	positive_lookup_pct	10	86.7828	0.0278	15	86.7545	0.0208	10	86.66	0.0307	-0.033	-0.142
A	compaction_write_per_op	10	3744.45	41.6798	15	3813.7333	45.6028	10	3849.85	36.6312	1.85	2.815
B	throughput_ops_sec	10	1041011.8	15654.6865	15	1043933.8667	9053.2463	10	1044442.1	11305.9876	0.281	0.33
B	filter_checks_per_lookup	10	3.9331	0.0424	15	3.942	0.0427	10	3.9421	0.0351	0.225	0.227
B	positive_lookup_pct	10	83.5181	0.0246	15	83.5037	0.0168	10	83.3853	0.0203	-0.017	-0.159
B	compaction_write_per_op	10	513.05	5.0557	15	535.4933	8.1416	10	549.13	6.2973	4.374	7.032
C	throughput_ops_sec	10	1600855.7	37139.0845	15	1451125.3333	141048.838	10	1577145.6	92887.033	-9.353	-1.481
C	filter_checks_per_lookup	10	3.6098	0.1988	15	3.9323	0.303	10	3.6184	0.3278	8.936	0.24
C	positive_lookup_pct	10	60.2924	0.0005	15	63.2129	1.9209	10	60.0027	0.1411	4.844	-0.48
C	compaction_write_per_op	0			0			0				
D	throughput_ops_sec	10	2669989.9	21862.2868	15	2654317.0	29400.0875	10	2675971.6	35631.7643	-0.587	0.224
D	filter_checks_per_lookup	10	1.0239	0.052	15	1.0394	0.0665	10	0.9947	0.0966	1.511	-2.859
D	positive_lookup_pct	10	92.0736	0.0149	15	91.9933	0.0269	10	92.0468	0.0255	-0.087	-0.029
D	compaction_write_per_op	0			0			0				
E	throughput_ops_sec	10	106575.4	502.3384	15	106060.2667	806.3477	10	104899.4	472.2975	-0.483	-1.573
E	filter_checks_per_lookup	0			0			0				
E	positive_lookup_pct	0			0			0				
E	compaction_write_per_op	0			0			0				
F	throughput_ops_sec	10	604600.2	3340.0892	15	599558.5333	3092.8736	10	595759.9	1808.6706	-0.834	-1.462
F	filter_checks_per_lookup	10	7.0606	0.0999	15	6.9954	0.1712	10	7.0394	0.1125	-0.924	-0.301
F	positive_lookup_pct	10	86.52	0.0096	15	86.4861	0.012	10	86.3801	0.0065	-0.039	-0.162
F	compaction_write_per_op	10	4180.82	30.6667	15	4252.5	44.1137	10	4302.06	48.3375	1.714	2.9
mixgraph	throughput_ops_sec	10	651957.0	5141.528	10	603590.0	5209.4016	10	603823.8	5693.4502	-7.419	-7.383
mixgraph	filter_checks_per_lookup	10	4.0791	0.062	10	4.0726	0.0748	10	4.0264	0.0937	-0.158	-1.291
mixgraph	positive_lookup_pct	10	79.5325	0.0517	10	82.7772	0.1632	10	78.9805	0.0657	4.08	-0.694
mixgraph	compaction_write_per_op	10	91.4686	6.7936	10	102.4345	5.2937	10	107.8453	6.6729	11.989	17.904
