phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	baseline	workloadc	ok	3	48	3.021	4.427546739578247	3223707	1067244.0	44.844	1943047	3223707	0	10939172	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/pilot/workloadc/baseline
pilot	f2load	workloadc	ok	3	48	3.029	4.226760149002075	3644163	1203218.0	39.669	2290827	3644163	0	11389472	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/pilot/workloadc/f2load
pilot	baseline	workloada	ok	5	48	5.024	6.631549596786499	5524939	1099612.0	43.54	2230446	2762340	2762599	11790560	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/pilot/workloada/baseline
pilot	baseline	workloade	ok	5	48	5.025	7.087160110473633	369480	73526.0	651.227	0	0	18584	25615620	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/pilot/workloade/baseline
full	baseline	workloada	ok	300	48	300.021	304.7744154930115	210389793	701250.0	68.447	91291758	105190987	105198806	54086748	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/full/workloada/baseline
full	f2load	workloada	ok	300	48	300.035	304.4417426586151	213924258	712997.0	67.316	92326025	106958153	106966105	54141380	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/full/workloada/f2load
full	f2load	workloadb	ok	300	48	300.035	304.82840371131897	317068527	1056771.0	45.418	249787626	301216920	15851607	53793428	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/full/workloadb/f2load
full	baseline	workloadb	ok	300	48	300.028	305.087198972702	309126335	1030324.0	46.584	245218412	293670649	15455686	53770236	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/full/workloadb/baseline
full	f2load	workloadc	ok	300	48	300.032	304.3849124908447	491661327	1638695.0	29.289	309046913	491661327	0	53194988	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/full/workloadc/f2load
full	baseline	workloadc	ok	300	48	300.027	304.5812635421753	432235893	1440658.0	33.316	260599673	432235893	0	53180016	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/full/workloadc/baseline
full	f2load	workloadd	ok	300	48	300.021	304.6332890987396	815957276	2719665.0	17.649	711176587	775156280	40800996	53810116	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/full/workloadd/f2load
full	baseline	workloadd	ok	300	48	300.025	304.957594871521	750807741	2502485.0	19.18	655908350	713264644	37543097	53834804	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/full/workloadd/baseline
full	f2load	workloade	ok	300	48	300.027	304.45580554008484	34794291	115970.0	413.884	0	0	1742046	53411100	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/full/workloade/f2load
full	baseline	workloade	ok	300	48	300.029	304.86350321769714	27032295	90099.0	532.717	0	0	1353238	53361024	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/full/workloade/baseline
full	f2load	workloadf	ok	300	48	300.038	304.85055804252625	178526027	595011.0	80.664	153499220	178526027	89267137	53990496	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/full/workloadf/f2load
full	baseline	workloadf	ok	300	48	300.028	304.79587864875793	181335888	604397.0	79.414	156890865	181335888	90672381	53958092	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2load_baseline_260909/full/workloadf/baseline
