phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	baseline	workloadc	ok	3	48	3.036	4.425534248352051	3220811	1060926.0	44.907	1941270	3220811	0	10927704	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/pilot/workloadc/baseline
pilot	f2load	workloadc	ok	3	48	3.029	4.17729640007019	3433480	1133467.0	42.113	2296714	3433480	0	11260900	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/pilot/workloadc/f2load
pilot	baseline	workloada	ok	5	48	5.025	6.631701707839966	5400204	1074742.0	44.537	2178556	2699481	2700723	11639392	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/pilot/workloada/baseline
pilot	baseline	workloade	ok	5	48	5.037	7.082265615463257	369866	73423.0	650.253	0	0	18614	25628972	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/pilot/workloade/baseline
full	baseline	workloada	ok	300	48	300.024	304.72584342956543	212196601	707264.0	67.864	92092471	106094362	106102239	54063936	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/full/workloada/baseline
full	f2load	workloada	ok	300	48	300.025	304.41949343681335	208316494	694329.0	69.129	90356162	104153678	104162816	54082240	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/full/workloada/f2load
full	f2load	workloadb	ok	300	48	300.02	304.76339864730835	306191820	1020570.0	47.031	242822480	290882451	15309369	53763288	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/full/workloadb/f2load
full	baseline	workloadb	ok	300	48	300.018	305.05020356178284	309754477	1032452.0	46.49	245726886	294267612	15486865	53814776	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/full/workloadb/baseline
full	f2load	workloadc	ok	300	48	300.022	304.12389636039734	454095685	1513541.0	31.713	303754904	454095685	0	53171412	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/full/workloadc/f2load
full	baseline	workloadc	ok	300	48	300.027	304.3165075778961	435641549	1452006.0	33.056	262653094	435641549	0	53182036	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/full/workloadc/baseline
full	f2load	workloadd	ok	300	48	300.03	304.6049280166626	792535494	2641525.0	18.17	692701818	752905088	39630406	53807772	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/full/workloadd/f2load
full	baseline	workloadd	ok	300	48	300.023	304.85607147216797	748835369	2495926.0	19.23	654146463	711390629	37444740	53824968	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/full/workloadd/baseline
full	f2load	workloade	ok	300	48	300.024	304.45061349868774	31792679	105967.0	452.952	0	0	1591202	53376708	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/full/workloade/f2load
full	baseline	workloade	ok	300	48	300.027	304.7113184928894	27615614	92043.0	521.462	0	0	1382375	53363260	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/full/workloade/baseline
full	f2load	workloadf	ok	300	48	300.027	304.6851797103882	178773933	595859.0	80.552	154598987	178773933	89391044	54001724	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/full/workloadf/f2load
full	baseline	workloadf	ok	300	48	300.021	304.77189540863037	180678444	602219.0	79.703	156310468	180678444	90343766	53947116	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_f2ratio_260909/full/workloadf/baseline
