phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	baseline	workloadc	ok	3	48	3.023	4.378311395645142	3417105	1130248.0	42.315	2059497	3417105	0	11251220	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/pilot/workloadc/baseline
pilot	f2load	workloadc	ok	3	48	3.034	4.177399158477783	3392105	1117929.0	42.605	2268892	3392105	0	11193840	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/pilot/workloadc/f2load
pilot	baseline	workloada	ok	5	48	5.024	6.581716775894165	5444199	1083626.0	44.188	2196709	2721571	2722628	11688772	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/pilot/workloada/baseline
pilot	baseline	workloade	ok	5	48	5.032	7.183423757553101	422478	83950.0	569.332	0	0	21199	28443304	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/pilot/workloade/baseline
full	baseline	workloada	ok	300	48	300.021	304.60659623146057	206404020	687964.0	69.769	89524468	103196640	103207380	54110748	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/full/workloada/baseline
full	f2load	workloada	ok	300	48	300.02	304.45909237861633	201294193	670936.0	71.54	87246991	100642298	100651895	54091476	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/full/workloada/f2load
full	f2load	workloadb	ok	300	48	300.035	304.86666893959045	319402667	1064550.0	45.086	253509847	303434771	15967896	53741336	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/full/workloadb/f2load
full	baseline	workloadb	ok	300	48	300.027	304.97474575042725	315117780	1050297.0	45.699	250067094	299363178	15754602	53777520	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/full/workloadb/baseline
full	f2load	workloadc	ok	300	48	300.029	304.19975566864014	450835884	1502638.0	31.942	301574219	450835884	0	53169980	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/full/workloadc/f2load
full	baseline	workloadc	ok	300	48	300.021	304.29867720603943	454712235	1515601.0	31.67	274154197	454712235	0	53179460	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/full/workloadc/baseline
full	f2load	workloadd	ok	300	48	300.026	304.61314034461975	793008694	2643133.0	18.159	693126901	753354708	39653986	53806204	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/full/workloadd/f2load
full	baseline	workloadd	ok	300	48	300.028	304.9167094230652	788723160	2628835.0	18.258	689684887	749283464	39439696	53816832	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/full/workloadd/baseline
full	f2load	workloade	ok	300	48	300.021	304.4666953086853	31767839	105885.0	453.308	0	0	1589954	53371604	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/full/workloade/f2load
full	baseline	workloade	ok	300	48	300.025	304.60433983802795	32004464	106672.0	449.955	0	0	1601813	53383336	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/full/workloade/baseline
full	f2load	workloadf	ok	300	48	300.031	304.56756067276	180678397	602200.0	79.703	156279670	180678397	90343700	53975372	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/full/workloadf/f2load
full	baseline	workloadf	ok	300	48	300.022	304.76633644104004	180347339	601114.0	79.849	156017898	180347339	90178082	53979428	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_A_full_260910/full/workloadf/baseline
