phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	baseline	workloadc	ok	3	48	3.026	4.478755950927734	3182353	1051765.0	45.435	1918156	3182353	0	10867472	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/pilot/workloadc/baseline
pilot	f2load	workloadc	ok	3	48	3.022	4.178172588348389	3421885	1132425.0	42.24	2288914	3421885	0	11252224	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/pilot/workloadc/f2load
pilot	baseline	workloada	ok	5	48	5.027	6.5825042724609375	5353895	1065063.0	44.943	2159447	2676266	2677629	11577460	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/pilot/workloada/baseline
pilot	baseline	workloade	ok	5	48	5.039	7.083212375640869	368869	73195.0	652.255	0	0	18565	25577928	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/pilot/workloade/baseline
full	baseline	workloada	ok	300	48	300.031	304.6615560054779	206288648	687558.0	69.808	89473509	103139047	103149601	54085860	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/full/workloada/baseline
full	f2load	workloada	ok	300	48	300.035	304.49296522140503	209283378	697531.0	68.809	90785119	104638259	104645119	54114676	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/full/workloada/f2load
full	f2load	workloadb	ok	300	48	300.025	304.8161747455597	313806704	1045935.0	45.89	248981707	298117452	15689252	53779280	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/full/workloadb/f2load
full	baseline	workloadb	ok	300	48	300.028	305.0131096839905	304012959	1013283.0	47.369	241084657	288812756	15200203	53796552	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/full/workloadb/baseline
full	f2load	workloadc	ok	300	48	300.032	304.1564495563507	449549908	1498341.0	32.033	300712714	449549908	0	53171144	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/full/workloadc/f2load
full	baseline	workloadc	ok	300	48	300.025	304.2959215641022	436036690	1453333.0	33.026	262891567	436036690	0	53178692	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/full/workloadc/baseline
full	f2load	workloadd	ok	300	48	300.018	304.55741453170776	787968105	2626405.0	18.276	688633702	748566352	39401753	53804188	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/full/workloadd/f2load
full	baseline	workloadd	ok	300	48	300.019	304.8560457229614	755159476	2517035.0	19.07	659779387	717398349	37761127	53812276	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/full/workloadd/baseline
full	f2load	workloade	ok	300	48	300.029	304.4084265232086	31782160	105930.0	453.103	0	0	1590654	53373884	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/full/workloade/f2load
full	baseline	workloade	ok	300	48	300.026	304.7117199897766	27599569	91990.0	521.768	0	0	1381506	53352492	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/full/workloade/baseline
full	f2load	workloadf	ok	300	48	300.02	304.5168478488922	179623960	598707.0	80.171	155349293	179623960	89816361	53987108	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/full/workloadf/f2load
full	baseline	workloadf	ok	300	48	300.025	304.81988430023193	179893589	599594.0	80.05	155617683	179893589	89951151	53957316	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_B_full_260910/full/workloadf/baseline
