phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	baseline	workloadc	ok	3	48	3.035	4.427996873855591	3433663	1131330.0	42.118	2069595	3433663	0	11269480	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/pilot/workloadc/baseline
pilot	f2load	workloadc	ok	3	48	3.028	4.130436420440674	3421653	1130123.0	42.294	2288737	3421653	0	11246276	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/pilot/workloadc/f2load
pilot	baseline	workloada	ok	5	48	5.03	6.53291916847229	5483777	1090273.0	43.9	2213200	2741479	2742298	11734064	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/pilot/workloada/baseline
pilot	baseline	workloade	ok	5	48	5.029	7.134428024291992	423641	84246.0	568.082	0	0	21266	28498224	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/pilot/workloade/baseline
full	baseline	workloada	ok	300	48	300.025	304.7132349014282	212511754	708314.0	67.763	92232661	106252369	106259385	54099752	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/full/workloada/baseline
full	f2load	workloada	ok	300	48	300.027	304.44573521614075	209000691	696606.0	68.902	90659616	104496687	104504004	54163588	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/full/workloada/f2load
full	f2load	workloadb	ok	300	48	300.03	304.7671625614166	312317247	1040953.0	46.109	247775828	296702241	15615006	53769996	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/full/workloadb/f2load
full	baseline	workloadb	ok	300	48	300.031	304.91920495033264	312971553	1043130.0	46.012	248330626	297324171	15647382	53763268	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/full/workloadb/baseline
full	f2load	workloadc	ok	300	48	300.031	304.1003749370575	452865635	1509397.0	31.799	302932667	452865635	0	53170664	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/full/workloadc/f2load
full	baseline	workloadc	ok	300	48	300.022	304.33668780326843	451982588	1506496.0	31.861	272508245	451982588	0	53180340	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/full/workloadc/baseline
full	f2load	workloadd	ok	300	48	300.028	304.55223298072815	795975950	2653004.0	18.092	695775590	756174025	39801925	53806340	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/full/workloadd/f2load
full	baseline	workloadd	ok	300	48	300.031	304.79460072517395	780197916	2600393.0	18.458	682090945	741184555	39013361	53827800	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/full/workloadd/baseline
full	f2load	workloade	ok	300	48	300.03	304.4523334503174	31742183	105796.0	453.671	0	0	1588728	53374160	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/full/workloade/f2load
full	baseline	workloade	ok	300	48	300.026	304.58985686302185	31956518	106512.0	450.627	0	0	1599330	53382736	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/full/workloade/baseline
full	f2load	workloadf	ok	300	48	300.018	304.6122410297394	178491850	594938.0	80.679	154350060	178491850	89250528	53987904	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/full/workloadf/f2load
full	baseline	workloadf	ok	300	48	300.024	304.767050743103	180538689	601748.0	79.764	156186966	180538689	90274006	53932312	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_50g_physcopy_C_full_260910/full/workloadf/baseline
